Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Antigua and Barbuda,ATG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.92207287,23.72756916,23.74882526,23.63149876,23.12862513,22.62860719,22.39601056,22.04863487,21.749254,22.08454423,21.20350392,21.36492696,21.33609301,21.65984178,21.49067768,21.69314612,21.60506951,22.09351605,21.90132266,21.70730464,21.53347788,21.38635067,21.12151744,20.98022535,20.06563729,19.98873565,19.43010914,19.88763606,19.05845825,19.19110182,19.5009896,19.24926087,19.68022871,19.359095,19.29313561
Austria,AUT,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36693909,32.15922652,31.77264815,31.57784154,31.21061281,29.43979459,28.77306297,28.67701794,28.87995254,29.16039413,28.49373325,27.98430433,28.03230816,27.71746335,27.57317536,28.16141577,27.32417732,26.01159725,24.73709301,24.72046781,26.02556247,26.08006469,25.90748153,25.75133216,25.76423007,25.56260314,24.92229926,25.43544918,25.3558624,24.86481143,25.6264557,26.36416124,25.72102701,24.83124456,24.64749285
Azerbaijan,AZE,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.81907227,15.24205437,14.41222962,14.03261883,13.45169843,11.23110319,11.16082498,11.16546025,11.17261427,10.87866022,10.82099184,11.52824824,12.89596812,11.90571125,12.07729128,12.35353976,12.6254883,12.13019105,12.66912804,13.71678337,14.07453473,14.28697988,14.37500882,14.30423264,14.063702,14.32802364,14.37334502,14.71932393,15.13052752,15.07280053,15.30210868,15.44072524,15.40463915,15.43069516,15.53520743
Burundi,BDI,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31616864,2.302827936,2.276445095,2.255844433,2.238249201,2.212533573,2.197949549,2.197638627,2.237896525,2.282150245,2.333141612,2.391428197,2.451632781,2.513132462,2.581880059,2.658383584,2.742271938,2.829833564,2.924854733,3.024499425,3.130045512,3.249277728,3.371372868,3.496684342,3.48140424,3.476926251,3.472024464,3.327595584,3.233625463,3.083251322,3.059834932,3.069301857,3.077468388,3.09280381,3.103262622
Belgium,BEL,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.32851723,29.94964846,29.43064044,28.8777656,28.25053286,27.63479512,27.54647042,27.24502908,25.77113894,25.81344755,25.48831237,25.78444179,24.91924928,24.93847886,24.68606479,24.69299018,24.43024736,24.67247076,23.47444799,23.37509383,23.23369709,21.75612612,21.70354698,21.3930861,21.43409664,21.26439861,21.17416704,20.92230768,21.12301683,20.69656504,19.7565329,20.46075783,20.14841351,19.52336774,19.24667528
Benin,BEN,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.86702808,20.80207637,20.74468062,20.85159727,20.77135483,20.67536218,20.59902032,20.49943909,20.43668142,20.38691288,20.33138371,20.26076655,20.18798259,20.08053425,19.96293351,19.82403946,19.68174575,19.42175198,19.05646681,18.75346477,18.46036298,16.9076977,15.69417361,16.03086591,16.31778894,16.63017688,16.99168098,17.38353325,17.76824289,17.92595247,18.04027463,18.31283003,18.30308211,18.2823869,18.3165686
Burkina Faso,BFA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.194153074,6.178863514,6.177590146,6.191681642,6.40403424,6.660453543,6.932185302,7.187463626,7.501384481,7.795824596,8.118600832,8.46750071,8.891413312,9.303212426,9.726882653,10.18810374,10.6381868,10.95205318,11.46069177,12.0925724,12.6832183,13.17286522,13.5378859,14.02470038,14.50324111,15.09431551,15.73713864,16.33165646,17.00123252,16.66095808,16.42414835,16.48580286,16.56076595,16.61076413,16.66640544
Bangladesh,BGD,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1824634,16.19038024,15.08635585,14.10685498,13.32246548,12.52857961,12.62986979,12.70982611,12.94510485,13.08921903,14.40514734,15.73600065,17.14192022,17.62208907,18.20079693,18.63725554,18.90982402,19.18723024,19.38633352,19.6659444,20.03368371,20.43301712,20.78889459,20.53669599,20.47960856,20.45952454,20.41932417,20.05326078,19.80480293,18.97008695,18.29576573,17.96882096,17.62586715,17.89240018,18.03358721
Bulgaria,BGR,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.09030894,43.79497005,42.03799117,40.39561608,38.52976119,36.90379183,36.3422397,34.96429024,33.00070614,32.83061823,32.76736132,32.66298953,32.12959566,32.91706197,34.24188343,34.47257772,35.50027395,36.26890079,35.60509112,33.4019992,31.51064905,31.46185619,30.52758363,29.63748689,30.29682722,30.17158407,29.31772509,30.29597818,29.48606317,30.93952643,29.99487924,30.2322891,29.59053285,28.13053824,27.87640087
