Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Antigua and Barbuda,ATG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.13215703,70.64341449,70.55347869,70.9072579,71.55008214,71.97452184,72.13427861,72.54862527,72.75594396,72.5035173,73.49951277,73.74900952,74.29585142,74.16607889,74.51003488,74.49377331,74.68302263,74.30246676,74.57010862,74.76640295,75.38403303,75.54972698,76.01319632,76.22146354,77.29785468,77.39128111,77.97383751,77.49551341,78.3832443,78.04290824,78.00060573,78.55331155,78.17002327,78.4103732,78.53072993
Austria,AUT,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2912707,60.79757169,61.35608998,61.7442861,61.98469437,63.67467389,64.84963502,65.31728413,65.35962471,65.2529574,66.13766548,66.70064366,66.88345063,67.33229291,67.15224348,66.59407838,67.1489447,68.53715259,69.69533898,69.84977933,69.03688262,69.24468998,69.51680695,69.41175622,69.70476407,70.08923549,71.14784778,70.8704419,70.98797504,71.27133426,70.63871204,70.09727921,71.16177927,72.34166873,72.58603408
Azerbaijan,AZE,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.26017165,36.74590422,40.27616604,41.84478031,42.82713458,44.39150659,44.98001024,45.92328439,46.51343752,48.11176234,49.22475907,48.28660205,48.9016395,48.55739663,48.60526171,48.09954806,48.82538763,48.27662739,49.20610604,48.05325931,48.04268926,48.0596829,48.52444313,48.94231002,49.58044558,49.33508313,49.2760161,49.01931952,48.91995191,48.99429615,48.82821528,48.78995792,49.45680247,49.87764785,50.2379527
Burundi,BDI,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.495969935,6.441092903,6.365839758,6.225774386,5.749204198,5.416101485,5.381855622,5.593747087,5.677812494,5.780298078,6.035980287,6.367599548,6.448367871,6.643033471,6.80888072,7.224129124,7.601425908,7.960183945,8.191777677,8.577240787,9.007603855,9.459302424,9.915013581,10.31827741,10.10467582,10.20453929,10.21812616,10.94522319,11.72880046,11.59725212,11.28003654,11.24884059,11.33463299,11.51276878,11.55567929
Belgium,BEL,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.91238561,67.35437874,67.92505844,68.23383302,69.07086308,69.62415039,69.79702653,70.51718225,71.83584319,72.27866716,73.13205736,72.42578772,73.35965391,72.84268851,73.27498478,73.35271302,73.71341412,73.77471891,75.03852153,75.27293335,75.46577853,77.07187533,76.9365903,77.38876508,77.38937718,77.48425678,77.64732902,78.21483155,77.79553188,78.29592767,79.1522132,78.46780939,78.76611179,79.46768308,79.76858252
Benin,BEN,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.56128473,32.6728606,32.87499796,32.80872753,33.335128,33.48522182,33.83018304,33.99501667,34.24614394,34.6702648,34.99942482,35.22106456,35.44882188,35.66394958,35.67558364,35.94373847,36.51991889,37.07524389,37.310395,37.50462715,37.91335718,39.37665397,40.98619146,41.05680642,40.49052799,40.04417013,40.06373036,40.30007473,40.24524111,38.76555927,38.52335599,39.01606923,39.83986665,40.66723213,41.442371
Burkina Faso,BFA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89395698,11.81498478,11.93006048,11.9113434,12.52500106,13.52954494,14.30862655,15.05085747,15.97786856,16.44559489,17.20954797,17.8747106,18.82762035,19.63118505,20.6832556,21.66862448,22.29571747,22.77140616,23.27326815,24.13411287,24.93424541,25.75041564,26.6211791,27.25279399,27.8861037,28.7449133,29.68027427,30.63272462,31.42862344,30.39025044,30.17401548,30.40307958,30.74179795,31.15558291,31.55814181
Bangladesh,BGD,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89621774,14.09944807,15.51816864,17.01753944,18.65944708,20.48445219,20.07075257,19.77438231,19.48585708,19.31508113,21.93108844,24.84201101,28.04441208,29.20283289,30.43951424,30.87701194,31.37526432,31.82722812,32.28591083,32.74150737,33.19271001,33.64890464,34.11192217,35.05869266,35.97805924,36.87571903,38.98337142,39.18093979,39.35507384,38.48223514,38.23852722,38.36246933,37.00780317,37.37156577,37.70627794
Bulgaria,BGR,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.40475158,46.24276075,47.39110927,48.41035382,49.60583706,50.60219807,50.48485713,51.29452105,53.55179031,53.97302183,57.5390324,56.63186925,56.73086332,56.33763608,56.8193021,57.41944364,56.95534735,56.10559339,57.50979361,59.90869436,62.01162741,62.00242869,62.9813336,63.0951489,62.89676138,62.92775955,63.49225051,62.98913636,63.72546541,62.47662579,63.58277249,63.21626938,64.16431822,67.02511491,67.43437758
